2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.banner.location' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ClassPathBeanDefinitionScanner:212 - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'servletConfigInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'random'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'context.initializer.classes' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'context.initializer.classes' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'servletConfigInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'random'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.application.name' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.application.name' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE DefaultListableBeanFactory:257 - Returning cached instance of singleton bean 'autoConfigurationReport'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE DefaultListableBeanFactory:980 - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@41dc10de]
#rootLogger.level = debug2020-03-06 20:22:24 INFO  DemoconverterApplication:55 - Starting DemoconverterApplication on LAPTOP-UO6FCE9V with PID 21864 (started by mvideo in D:\Максим\Работа\Java\democonverter)
#rootLogger.level = debug2020-03-06 20:22:24 DEBUG DemoconverterApplication:56 - Running with Spring Boot v2.2.4.RELEASE, Spring v5.2.3.RELEASE
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'servletConfigInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'random'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.active' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.profiles.active' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'servletConfigInitParams'
